SKU,Product Name,Product Line Code,Weight,Weight Unit,Material Code,Component Qty,Lead Time Days,Status,Last Updated,Data Quality Flag,Comment
SKU-00001,Hydraulic Pump P-50,elec,68.794,kg,AL,47,14,Active,23/03/2026,VALID,
SKU-00002,Bracket Assembly,ELEC,54.699,kg,AL,12,92,in dev,28-Aug-2025,VALID,
SKU-00003,Throttle Valve,HYDR,202.367,G,CE,44,55,Active,20251026,VALID,
SKU-00004,Sensor Array,HYDR,25.597,g,CF,22,109,ACTIVE,20251012,VALID,
SKU-00005,Bracket Assembly,STRUC,31.25,g,GL,35,38,Discont,20250730,VALID,
SKU-00006,Control Module X1,SOFT,57.013,g,AL,14,111,ACTIVE,08/02/2026,VALID,
SKU-00007,Heat Sink,SOFT,208.536,kg,GL,22,27,discont,20250115,VALID,
SKU-00008,Actuator Rod,SOFT,61.24,g,WD,17,119,pending,2025-12-13,VALID,
SKU-00009,Bracket Assembly,ELEC,201.271,g,CF,4,28,DISCONTINUED,20250820,TEST,test record - exclude
SKU-00010,Widgit Pro,SOFT,114.74,g,RB,15,96,Active,20260329,VALID,
SKU-00011,Bus Bar,MECH,249.332,kg,CU,31,12,in dev,07/05/2025,DUPLICATE,
SKU-00012,Sensor Array,SOFT,105.569,kg,PL,24,77,pending,29-Sep-2025,VALID,
SKU-00013,Widget 3000,SOFT,,g,ST,7,38,discont,25-Jun-2025,VALID,
SKU-00014,Throttle Valve,SOFT,218.969,g,AL,48,23,in dev,16/11/2025,VALID,
SKU-00015,Mounting Plate,HYDR,190.64,kg,XX,31,3,discont,21/01/2026,VALID,
SKU-00016,Cable Harness,ELEC,60.256,kg,CF,46,63,ACTIVE,23/05/2025,VALID,
SKU-00017,Sensor Array,STRUC,41.323,g,GL,-1,97,discontinued,2025-11-30,VALID,
SKU-00018,Bus Bar,PNEU,224.909,g,CU,15,29,ACTIVE,27/12/2025,VALID,
SKU-00019,Widget 3000,ZZ,57.567,kg,CE,4,91,active,06/09/2025,VALID,
SKU-00020,Control Module X1,HYDR,17.761,kg,AL,42,63,DISCONTINUED,2025-05-30,VALID,
SKU-00021,Widgit Pro,PNEU,201.884,kg,CF,6,85,ACTIVE,12-Jan-2026,VALID,
SKU-00022,Filter Cartridge,PNEU,215.966,kg,RB,3,52,ACTIVE,20250506,VALID,
SKU-00023,Gearbox Kit,MECH,134.095,kg,CF,11,36,pending,27-Sep-2025,VALID,
SKU-00024,Control Module X1,STRUC,24.522,kg,GL,48,109,ACTIVE,2025-07-04,VALID,
SKU-00025,Filter Cartridge,PNEU,53.476,g,GL,10,49,active,18/02/2026,VALID,
SKU-00026,Heat Sink,HYDR,105.781,g,GL,12,38,Active,2025-03-15,VALID,
SKU-00027,Bracket Assembly,ELEC,12.583,g,CU,33,21,in dev,19/06/2026,VALID,
SKU-00028,Control Module X1,ELEC,148.779,kg,PL,7,114,pending,2025-02-24,VALID,
SKU-00029,Control Module X1,SOFT,145.939,g,RB,13,86,DISCONTINUED,20250916,VALID,
SKU-00030,Heat Sink,MECH,167.939,g,RB,20,119,PENDING,24/01/2025,VALID,
SKU-00031,Throttle Valve,STRUC,249.024,kg,CE,13,65,in dev,20250530,VALID,
SKU-00032,Piston Head,MECH,92.413,kg,ST,34,91,PENDING,20250123,VALID,
SKU-00033,Cable Harness,MECH,66.153,kg,ST,9,35,in dev,20250818,VALID,
SKU-00034,Seal Ring Kit,SOFT,158.578,g,CF,31,33,in dev,19/04/2025,VALID,
SKU-00035,Filter Cartridge,ELEC,0.936,kg,TI,10,95,DISCONTINUED,28-Mar-2026,VALID,
SKU-00036,Widget 3000,ELEC,236.265,kg,ST,2,107,in dev,20250615,VALID,
SKU-00037,Filter Cartridge,ELEC,77.099,kg,PL,13,88,discont,2025-04-30,VALID,
SKU-00038,Piston Head,PNEU,243.461,kg,WD,10,103,discontinued,2026-03-13,VALID,
SKU-00039,Widget 3000,SOFT,231.126,g,PL,17,21,discontinued,10/02/2026,VALID,
SKU-00040,Bracket Assembly,MECH,49.933,g,GL,19,106,discont,2025-08-31,VALID,
